time,point_index,phase,cmd_px,cmd_py,cmd_pz,cmd_ox,cmd_oy,cmd_oz,cmd_ow,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,joint_0,joint_1,joint_2,joint_3,joint_4
1775068155.3342435,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.02218170166015554,0.5383666992187273,0.3033798217773551,0.6918420195579529,-0.03421277180314064,0.0,0.72123783826828,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.3591955,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.021538543701172586,0.46375122070310226,0.19414215087891762,0.6914226412773132,-0.03458460047841072,0.0,0.7216221690177917,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.3841598,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.41712875366210866,0.5719055175781023,0.07198028564454262,0.6910462975502014,-0.034338418394327164,0.0,0.7219944000244141,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.4108906,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.513407897949218,0.40204467773435226,0.008396911621105119,0.6903411746025085,-0.033852461725473404,0.0,0.722691535949707,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.4336414,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.14281578063964773,0.34561767578122726,0.17200164794923012,0.6903698444366455,-0.03442080318927765,0.0,0.7226373553276062,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.4585695,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5843364715576165,0.9285949707031023,0.21368865966798012,0.6920469403266907,-0.03327571973204613,0.0,0.7210850715637207,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.484542,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.04784507751464773,1.1786560058593523,0.3911331176757926,0.6927670240402222,-0.03509330376982689,0.0,0.7203070521354675,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.5095172,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.29142837524414134,1.4504150390624773,0.7007186889648551,0.6939862370491028,-0.03569934517145157,0.0,0.719102680683136,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.5336735,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.44714813232421946,1.5323242187499773,0.5056350708007926,0.6940370202064514,-0.03691113367676735,0.0,0.7189924120903015,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.5586312,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15747146606445384,1.2057861328124773,0.22667388916016762,0.6927797198295593,-0.036196980625391006,0.0,0.7202402353286743,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.583611,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.201445388793946,0.9552062988281023,0.7937973022461051,0.6926612854003906,-0.038955725729465485,0.0,0.7202102541923523,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.6086137,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1800106048583991,0.8653015136718523,0.9712112426757926,0.6928935647010803,-0.03887341916561127,0.0,0.7199912071228027,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.6336124,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.242136764526368,0.7136291503906023,0.7236526489257926,0.6925537586212158,-0.03860681504011154,0.0,0.7203323841094971,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.6586034,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7745502471923835,0.6876281738281023,0.9137771606445426,0.692699134349823,-0.04064805433154106,0.0,0.7200803756713867,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.683595,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.970335769653321,0.6851562499999773,1.0385025024414176,0.6925860047340393,-0.04147955775260925,0.0,0.7201417088508606,0.0,3.141592653589793,0.0,0.0,0.0
1775068155.7095416,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9014347076416023,0.32669677734372726,0.8152664184570426,0.6914017200469971,-0.041300930082798004,0.0,0.7212890982627869,0.0,3.141592653589793,0.0,0.0,0.0
