time,point_index,phase,cmd_px,cmd_py,cmd_pz,cmd_ox,cmd_oy,cmd_oz,cmd_ow,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,joint_0,joint_1,joint_2,joint_3,joint_4
1775406179.0174212,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2109607696533189,-0.814239501953125,0.48274383544921307,0.7061707973480225,-0.06859774142503738,0.0,0.7047106623649597,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.0423977,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20025291442870952,-0.67523193359375,0.33329925537108807,0.7062524557113647,-0.06867774575948715,0.0,0.7046210765838623,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.067456,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06975593566894389,-0.54534912109375,0.5023666381835881,0.706965446472168,-0.06794262677431107,0.0,0.7039769887924194,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.0924263,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4534839630126939,-0.303253173828125,0.39701995849608807,0.707582950592041,-0.06885813921689987,0.0,0.7032673358917236,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.1174212,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38051261901855327,-0.299407958984375,0.5366683959960881,0.7077413201332092,-0.06866990774869919,0.0,0.7031263113021851,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.1425357,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10061302185058452,-0.157470703125,0.39044342041015057,0.7075486779212952,-0.06815896928310394,0.0,0.7033698558807373,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.1674743,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.016949081420897016,0.314056396484375,0.7960372924804631,0.7091395258903503,-0.06861400604248047,0.0,0.7017214894294739,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.192408,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5188640594482408,0.141632080078125,0.5735488891601506,0.7086523175239563,-0.06942383944988251,0.0,0.7021340131759644,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.2174098,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6295475006103501,0.44586181640625,0.5517745971679631,0.7091024518013,-0.07007084041833878,0.0,0.7016151547431946,0.0,3.141592653589793,0.0,0.0,0.0
1775406179.2423735,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.913616561889647,0.02020263671875,0.7081466674804631,0.7081294655799866,-0.07072173058986664,0.0,0.7025319337844849,0.0,3.141592653589793,0.0,0.0,0.0
