time,point_index,phase,cmd_px,cmd_py,cmd_pz,cmd_ox,cmd_oy,cmd_oz,cmd_ow,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,joint_0,joint_1,joint_2,joint_3,joint_4
1775229630.6363814,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9244228363037124,-0.025888061523460237,0.007908630371105119,0.6962465047836304,-0.025015495717525482,0.0,0.7173666954040527,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.660374,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7849231719970717,0.04686584472653976,-0.18735809326170738,0.6961492300033569,-0.025440776720643044,0.0,0.7174462080001831,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.6863256,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7243076324462905,-0.26975402832033524,-0.24669952392576988,0.6950139403343201,-0.025763586163520813,0.0,0.7185345888137817,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.711368,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1385818481445327,-0.5554901123047102,-0.5597946166992074,0.6936992406845093,-0.025264134630560875,0.0,0.719821572303772,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.7353525,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9919754028320327,-0.9673553466797102,-0.7787734985351449,0.6923136115074158,-0.02613845281302929,0.0,0.7211232781410217,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.760421,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9640346527099624,-1.0165496826172102,-1.0591690063476449,0.691942036151886,-0.025677217170596123,0.0,0.7214962840080261,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.7854102,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1159187316894545,-1.1246124267578352,-1.2421524047851449,0.691310703754425,-0.025634480640292168,0.0,0.722102701663971,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.8103938,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2149349212646499,-1.1580596923828352,-1.5340835571288949,0.6908058524131775,-0.02542683854699135,0.0,0.7225930690765381,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.8364549,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6863571166992202,-0.9198394775390852,-1.6570236206054574,0.691559374332428,-0.023152636364102364,0.0,0.7219484448432922,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.8613715,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.849374389648439,-0.8351531982422102,-1.7109939575195199,0.6916082501411438,-0.02312224917113781,0.0,0.7219025492668152,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.8863463,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0685363769531264,-0.5469146728515852,-1.6906387329101449,0.6923794150352478,-0.02176794596016407,0.0,0.7212051153182983,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.911366,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.846870040893556,-0.5435272216797102,-1.5235397338867074,0.6927732229232788,-0.022250957787036896,0.0,0.7208122611045837,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.9363747,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.8167739868164077,-0.29480895996096024,-1.5987045288085824,0.6933939456939697,-0.022472046315670013,0.0,0.7202081680297852,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.9603772,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.339261627197267,-0.25504455566408524,-1.3168746948242074,0.6938970685005188,-0.02386625111103058,0.0,0.7196785807609558,0.0,3.141592653589793,0.0,0.0,0.0
1775229630.9853635,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.1326595306396499,-0.41214904785158524,-1.3352920532226449,0.6932851076126099,-0.024766182526946068,0.0,0.7202377319335938,0.0,3.141592653589793,0.0,0.0,0.0
