time,point_index,phase,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,ndi_px_raw,ndi_py_raw,ndi_pz_raw,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,cp_px,cp_py,cp_pz,msr_j0,msr_j1,msr_j2,msr_j3,msr_j4
1774541543.3565125,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.69197463989258,270.54620361328125,-254.03346252441406,-1.2795106887817376,-0.075531005859375,-1.0544494628906307,0.6949175596237183,0.04211806505918503,0.0,0.717854917049408,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.38155,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-33.055328369140625,270.55059814453125,-253.6549835205078,-1.6428644180297844,-0.071136474609375,-0.6759704589843807,0.6953859925270081,0.04376910626888275,0.0,0.7173023223876953,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.4065652,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-33.07596206665039,270.864013671875,-253.41226196289062,-1.66349811553955,0.242279052734375,-0.4332489013671932,0.6964765191078186,0.04484252259135246,0.0,0.7161771655082703,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.4315102,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.817623138427734,271.05810546875,-252.96337890625,-1.4051591873168938,0.436370849609375,0.015634155273431816,0.6974747776985168,0.0444432757794857,0.0,0.7152298092842102,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.4565427,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.56813049316406,270.974365234375,-253.02232360839844,-1.155666542053222,0.352630615234375,-0.043310546875005684,0.6976593732833862,0.04365737736225128,0.0,0.7150981426239014,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.4815056,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.967037200927734,271.4230041503906,-252.3206787109375,-0.5545732498168938,0.80126953125,0.6583343505859318,0.6997421979904175,0.04208213463425636,0.0,0.7131549715995789,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.5064964,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.6741943359375,271.20538330078125,-252.632568359375,-0.26173038482665945,0.583648681640625,0.3464447021484318,0.6987879276275635,0.04151678830385208,0.0,0.7141230702400208,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.5314963,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.04388427734375,271.6861877441406,-252.73976135253906,-0.6314203262329094,1.064453125,0.23925170898436932,0.6999930143356323,0.04276924207806587,0.0,0.712867796421051,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.556504,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.734804153442383,271.7575988769531,-252.3768310546875,-0.32234020233154226,1.1358642578125,0.6021820068359318,0.7008033394813538,0.042309194803237915,0.0,0.7120986580848694,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.5815082,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.425121307373047,271.6681213378906,-252.07095336914062,-0.01265735626220632,1.04638671875,0.9080596923828068,0.7012016773223877,0.041486725211143494,0.0,0.7117549180984497,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.6065035,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.899276733398438,271.6341247558594,-252.3407440185547,-0.48681278228759695,1.01239013671875,0.6382690429687443,0.7005627751350403,0.04258997365832329,0.0,0.7123185992240906,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.6314678,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.546951293945312,271.509521484375,-252.41847229003906,-0.13448734283447195,0.887786865234375,0.5605407714843693,0.6998826265335083,0.04127657040953636,0.0,0.7130641937255859,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.656521,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.475278854370117,271.3880920410156,-252.3863067626953,-0.06281490325927663,0.766357421875,0.5927062988281193,0.699693500995636,0.0408206507563591,0.0,0.7132759690284729,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.6815124,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.643239974975586,271.4460754394531,-252.6621856689453,-0.23077602386474538,0.8243408203125,0.3168273925781193,0.6996117234230042,0.04110601916909218,0.0,0.7133398056030273,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.7065287,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.79673194885254,271.66455078125,-252.68368530273438,-0.3842679977416985,1.042816162109375,0.2953277587890568,0.7000282406806946,0.042170438915491104,0.0,0.7128690481185913,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.731482,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.42989158630371,271.4520568847656,-252.41571044921875,-0.017427635192870383,0.830322265625,0.5633026123046818,0.6999807953834534,0.041010648012161255,0.0,0.7129830718040466,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.7564888,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.52571678161621,271.4908142089844,-252.36724853515625,-0.11325283050537038,0.86907958984375,0.6117645263671818,0.700388491153717,0.04162411391735077,0.0,0.7125471234321594,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.781481,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.14289665222168,271.5108642578125,-251.8499755859375,0.26956729888916087,0.889129638671875,1.1290374755859318,0.7011865377426147,0.04027488827705383,0.0,0.7118394374847412,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.8064814,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.38538360595703,271.34344482421875,-252.25392150878906,0.027080345153809304,0.721710205078125,0.7250915527343693,0.7003129720687866,0.04089699685573578,0.0,0.7126634120941162,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.8314917,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.28152847290039,271.5968933105469,-252.112060546875,0.13093547821044993,0.97515869140625,0.8669525146484318,0.7009462118148804,0.04010162502527237,0.0,0.7120859026908875,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.8564703,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.140520095825195,271.5655822753906,-252.0833282470703,0.27194385528564524,0.94384765625,0.8956848144531193,0.7011634707450867,0.03963340073823929,0.0,0.7118980884552002,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.8814874,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.96769142150879,271.8518371582031,-251.64151000976562,0.4447725296020515,1.2301025390625,1.3375030517578068,0.7027186751365662,0.03876149654388428,0.0,0.7104111313819885,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.9064898,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.165746688842773,272.2212829589844,-251.6700439453125,0.24671726226806712,1.59954833984375,1.3089691162109318,0.7038500308990479,0.03997599706053734,0.0,0.7092228531837463,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.9314675,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.62004280090332,272.5968933105469,-250.8267364501953,0.7924211502075202,1.97515869140625,2.1522766113281193,0.7058731913566589,0.038355085998773575,0.0,0.707298994064331,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.9564757,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.71067237854004,272.2539978027344,-250.960205078125,0.7017915725708015,1.63226318359375,2.018807983398432,0.7046658396720886,0.03871589154005051,0.0,0.7084823846817017,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541543.9814713,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.10742950439453,272.9133605957031,-251.05227661132812,0.3050344467163093,2.2916259765625,1.9267364501953068,0.706170916557312,0.03966326266527176,0.0,0.706929624080658,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.0064716,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.793609619140625,272.8743896484375,-251.31993103027344,-0.38114566802978445,2.252655029296875,1.6590820312499943,0.7054145336151123,0.04168475791811943,0.0,0.7075681686401367,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.0314627,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.644155502319336,272.74810791015625,-251.31739807128906,-0.23169155120849538,2.126373291015625,1.6616149902343693,0.7046709060668945,0.04112426936626434,0.0,0.7083414793014526,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.056469,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.9858455657959,272.879150390625,-251.53038024902344,-0.5733816146850579,2.257415771484375,1.4486328124999943,0.7048624157905579,0.04214196652173996,0.0,0.708091139793396,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.0814743,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.550312042236328,273.06866455078125,-251.1554412841797,-0.13784809112548757,2.446929931640625,1.8235717773437443,0.7058266401290894,0.0411270447075367,0.0,0.7071897387504578,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.1064901,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.592315673828125,272.9325256347656,-251.19651794433594,-0.17985172271728445,2.310791015625,1.7824951171874943,0.705284833908081,0.04125003144145012,0.0,0.7077229022979736,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.1314914,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.490293502807617,272.9390563964844,-251.19125366210938,-0.07782955169677663,2.31732177734375,1.7877593994140568,0.7051604390144348,0.0413137711584568,0.0,0.7078431844711304,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.1564991,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.54664421081543,272.9085693359375,-251.21348571777344,-0.13418025970458913,2.286834716796875,1.7655273437499943,0.7047675848007202,0.041165322065353394,0.0,0.7082429528236389,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.1815176,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.288848876953125,272.7835693359375,-251.48272705078125,0.12361507415771555,2.161834716796875,1.4962860107421818,0.7040793299674988,0.040440451353788376,0.0,0.7089688777923584,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.2064672,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.98537826538086,272.98870849609375,-251.34725952148438,0.4270856857299812,2.366973876953125,1.6317535400390568,0.7047606706619263,0.039081525057554245,0.0,0.7083678841590881,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.2315335,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.96985626220703,272.6231994628906,-251.54837036132812,0.4426076889038093,2.00146484375,1.4306427001953068,0.7034878134727478,0.03892311453819275,0.0,0.7096407413482666,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.2565377,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.79182243347168,272.6682434082031,-251.2745361328125,0.6206415176391609,2.0465087890625,1.7044769287109318,0.703883945941925,0.03853793442249298,0.0,0.7092686891555786,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.2815053,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.750179290771484,272.9635009765625,-251.4109344482422,0.6622846603393562,2.341766357421875,1.5680786132812443,0.7048094272613525,0.03857874497771263,0.0,0.7083469033241272,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.306496,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.271764755249023,272.8199462890625,-251.01123046875,1.1406991958618171,2.198211669921875,1.9677825927734318,0.704552948474884,0.0371781662106514,0.0,0.7086769342422485,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.3314893,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.060436248779297,272.85797119140625,-250.9227752685547,1.3520277023315437,2.236236572265625,2.0562377929687443,0.7049736976623535,0.03687212988734245,0.0,0.7082743048667908,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.3565001,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.364843368530273,272.75970458984375,-251.08642578125,1.0476205825805671,2.137969970703125,1.8925872802734318,0.7043676376342773,0.037560686469078064,0.0,0.7088409066200256,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.3814893,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.075035095214844,272.48406982421875,-251.30474853515625,1.3374288558959968,1.862335205078125,1.6742645263671818,0.7035378813743591,0.03658384829759598,0.0,0.7097154259681702,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.406495,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-29.577173233032227,272.1902770996094,-250.6432647705078,1.835290718078614,1.56854248046875,2.3357482910156193,0.7036024928092957,0.03476325795054436,0.0,0.7097429037094116,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.431497,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-29.62249183654785,272.1637268066406,-250.84201049804688,1.789972114562989,1.5419921875,2.137002563476557,0.7033631801605225,0.03514035418629646,0.0,0.7099615931510925,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.4564738,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-29.607471466064453,271.80792236328125,-250.88742065429688,1.8049924850463874,1.186187744140625,2.091592407226557,0.7024089097976685,0.03451215848326683,0.0,0.710936427116394,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.4814734,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-28.918596267700195,271.443603515625,-250.88723754882812,2.4938676834106452,0.821868896484375,2.091775512695307,0.7016404867172241,0.0331445038318634,0.0,0.7117598652839661,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.5064645,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-28.883384704589844,271.346923828125,-250.72238159179688,2.529079246520997,0.725189208984375,2.256631469726557,0.7016440629959106,0.03218137100338936,0.0,0.7118004560470581,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.5314794,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-28.98769760131836,271.0860595703125,-250.70643615722656,2.424766349792481,0.464324951171875,2.2725769042968693,0.7009982466697693,0.03250673785805702,0.0,0.7124217748641968,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.556495,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-29.306283950805664,271.40484619140625,-250.74769592285156,2.1061800003051765,0.783111572265625,2.2313171386718693,0.7020127177238464,0.03295343741774559,0.0,0.7114015817642212,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.5815,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-29.500606536865234,271.1913146972656,-251.15921020507812,1.9118574142456062,0.569580078125,1.8198028564453068,0.7008301615715027,0.03308839350938797,0.0,0.7125602960586548,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.6064932,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-29.479690551757812,271.31927490234375,-251.39024353027344,1.932773399353028,0.697540283203125,1.5887695312499943,0.7007604241371155,0.03278353810310364,0.0,0.712643027305603,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.631456,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-29.510726928710938,271.31390380859375,-251.12094116210938,1.901737022399903,0.692169189453125,1.8580718994140568,0.7012951374053955,0.03354010358452797,0.0,0.7120816111564636,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.6564612,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.0642032623291,271.6212158203125,-251.51280212402344,1.348260688781739,0.999481201171875,1.4662109374999943,0.70156329870224,0.034843262284994125,0.0,0.7117547392845154,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.6814954,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.074647903442383,271.2984313964844,-251.71731567382812,1.3378160476684577,0.67669677734375,1.2616973876953068,0.7003823518753052,0.03450707346200943,0.0,0.7129333019256592,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.706468,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.61659049987793,271.2751159667969,-252.20875549316406,0.7958734512329109,0.65338134765625,0.7702575683593693,0.6994013786315918,0.03578691557049751,0.0,0.7138326168060303,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.7315507,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.044994354248047,271.4129943847656,-252.43524169921875,0.3674695968627937,0.791259765625,0.5437713623046818,0.6996111273765564,0.03688276559114456,0.0,0.7135712504386902,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.7564633,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.547868728637695,270.8685302734375,-252.53915405273438,0.8645952224731452,0.246795654296875,0.4398590087890568,0.6978538632392883,0.035412807017564774,0.0,0.7153642177581787,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.7814705,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.771650314331055,270.6866149902344,-252.8555908203125,0.6408136367797859,0.06488037109375,0.12342224121093182,0.6969333291053772,0.03662671148777008,0.0,0.7161999940872192,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.8064902,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.15013885498047,270.0616760253906,-252.8065185546875,1.2623250961303718,-0.56005859375,0.17249450683593182,0.6950618028640747,0.034396521747112274,0.0,0.7181267142295837,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.8314724,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.58714485168457,270.15234375,-253.23599243164062,0.8253190994262702,-0.469390869140625,-0.2569793701171932,0.6948081254959106,0.03561907634139061,0.0,0.7183125615119934,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.8565269,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.423799514770508,270.3168029785156,-252.86141967773438,0.9886644363403327,-0.304931640625,0.11759338378905682,0.6958625912666321,0.03499598056077957,0.0,0.7173216938972473,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.881473,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.002300262451172,270.1187438964844,-253.3563995361328,0.4101636886596687,-0.50299072265625,-0.3773864746093807,0.6945119500160217,0.036502450704574585,0.0,0.7185546159744263,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.9064598,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.744768142700195,269.6527404785156,-253.4691162109375,0.6676958084106452,-0.968994140625,-0.4901031494140682,0.6930678486824036,0.036413293331861496,0.0,0.7199522256851196,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.931646,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.946048736572266,269.87615966796875,-253.23936462402344,0.46641521453857493,-0.745574951171875,-0.2603515625000057,0.6941258311271667,0.0374482162296772,0.0,0.718878984451294,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.9564512,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.13378143310547,270.2100524902344,-252.52178955078125,1.2786825180053718,-0.41168212890625,0.4572235107421818,0.6963858008384705,0.0354805514216423,0.0,0.7167900204658508,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541544.981632,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.540388107299805,269.97235107421875,-252.6327362060547,0.8720758438110359,-0.649383544921875,0.3462768554687443,0.6954395771026611,0.03673035278916359,0.0,0.7176452279090881,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.0064895,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.533674240112305,270.77178955078125,-252.50997924804688,0.8787897109985359,0.150054931640625,0.4690338134765568,0.6981185078620911,0.0369662307202816,0.0,0.7150272727012634,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.0314698,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-30.604663848876953,270.7603759765625,-252.48269653320312,0.8078001022338874,0.138641357421875,0.4963165283203068,0.6980872750282288,0.036988530308008194,0.0,0.7150566577911377,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.056549,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.263254165649414,270.6715393066406,-253.14427185058594,0.1492097854614265,0.0498046875,-0.16525878906250568,0.6970997452735901,0.0397709384560585,0.0,0.715870201587677,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.0815632,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.516529083251953,270.35748291015625,-253.06198120117188,-0.10406513214111257,-0.264251708984375,-0.08296813964844318,0.6960707306861877,0.04111779108643532,0.0,0.7167948484420776,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.1065607,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.37327003479004,270.034423828125,-253.33853149414062,0.03919391632080149,-0.587310791015625,-0.3595184326171932,0.6948915719985962,0.04104605317115784,0.0,0.7179422378540039,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.1314476,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.3948974609375,270.4046325683594,-253.09329223632812,0.017566490173340554,-0.21710205078125,-0.11427917480469318,0.6961522102355957,0.041080377995967865,0.0,0.7167178392410278,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.1564736,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.262514114379883,270.8418273925781,-252.8129119873047,0.14994983673095774,0.2200927734375,0.16610107421874432,0.6977984309196472,0.04061518982052803,0.0,0.7151417136192322,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.181471,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.626453399658203,270.4718933105469,-253.0814666748047,-0.21398944854736257,-0.14984130859375,-0.10245361328125568,0.6964564919471741,0.04112391546368599,0.0,0.7164196968078613,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.206486,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-31.987356185913086,270.583740234375,-253.45346069335938,-0.5748922348022454,-0.037994384765625,-0.4744476318359432,0.6960735321044922,0.04261455312371254,0.0,0.7167047262191772,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.23222,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.34563064575195,270.6632080078125,-253.6310272216797,-0.9331666946411126,0.041473388671875,-0.6520141601562557,0.6958737373352051,0.04361417144536972,0.0,0.7168385982513428,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.2564743,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.4567985534668,270.76507568359375,-253.7696075439453,-1.0443346023559563,0.143341064453125,-0.7905944824218807,0.6957994699478149,0.04428855702280998,0.0,0.7168693542480469,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.2819517,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.66167449951172,270.8703918457031,-253.81912231445312,-1.2492105484008782,0.2486572265625,-0.8401092529296932,0.6959105730056763,0.04452294111251831,0.0,0.7167470455169678,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541545.306454,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-32.04634475708008,271.5651550292969,-253.27078247070312,-0.6338808059692376,0.94342041015625,-0.2917694091796932,0.6987329721450806,0.042126771062612534,0.0,0.7141411304473877,0.0,0.0,0.0,0.0,3.141592653589793,0.0,0.0,0.0
1774541547.3568163,0,waypoint,0.0,0.0,0.01,0.005,0.0,-31.18553352355957,263.5546569824219,-247.57534790039062,0.22693042755127024,-7.06707763671875,5.403665161132807,0.6496180891990662,0.035038623958826065,0.0,0.7594528794288635,1.1562013122872773e-19,-0.001888220037144211,0.009820113293202228,0.0,0.0,0.01,0.004999000000000003,0.0
1774541547.38178,0,waypoint,0.0,0.0,0.01,0.005,0.0,-31.030006408691406,263.5844421386719,-247.7473907470703,0.3824575424194343,-7.03729248046875,5.231622314453119,0.6491358280181885,0.034199103713035583,0.0,0.7599033117294312,1.1562013122872773e-19,-0.001888220037144211,0.009820113293202228,0.0,0.0,0.01,0.004999000000000003,0.0
