time,pair_id,phase,cmd_px,cmd_py,cmd_pz,ndi_px,ndi_py,ndi_pz,ndi_ox,ndi_oy,ndi_oz,ndi_ow,fx,fy,fz,joint_0,joint_1,joint_2,joint_3,joint_4
1773939360.974399,0,wp1,-0.009,-0.006,0.015,57.815826416015625,-28.339624404907227,-207.0426483154297,-0.34383049607276917,0.60463947057724,0.0,0.7184648513793945,0.731788,-7.551158,4.806673,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939360.9993358,0,wp1,-0.009,-0.006,0.015,57.7214241027832,-28.222763061523438,-206.6377410888672,-0.34420064091682434,0.6043922305107117,0.0,0.7184956669807434,0.737772,-7.542138,4.801704,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.0244339,0,wp1,-0.009,-0.006,0.015,57.930564880371094,-28.60107421875,-207.251220703125,-0.34399980306625366,0.6043109893798828,0.0,0.7186600565910339,0.733655,-7.547708999999999,4.799034,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.0495794,0,wp1,-0.009,-0.006,0.015,58.052005767822266,-28.830808639526367,-207.37413024902344,-0.34401410818099976,0.6041212677955627,0.0,0.7188128232955933,0.741493,-7.532251,4.808936999999999,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.0745456,0,wp1,-0.009,-0.006,0.015,57.79092025756836,-28.393659591674805,-206.94906616210938,-0.3441532552242279,0.604309618473053,0.0,0.7185878157615662,0.738027,-7.548346,4.801787,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.099244,0,wp1,-0.009,-0.006,0.015,58.08872604370117,-28.835453033447266,-207.5362548828125,-0.3439548909664154,0.6040756106376648,0.0,0.7188794612884521,0.740715,-7.541919,4.802705,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.124468,0,wp1,-0.009,-0.006,0.015,57.8330192565918,-28.429344177246094,-206.8958282470703,-0.3444911539554596,0.6040404438972473,0.0,0.7186522483825684,0.736686,-7.548963,4.800923,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.1493664,0,wp1,-0.009,-0.006,0.015,58.00642395019531,-28.690975189208984,-207.31332397460938,-0.34428778290748596,0.6040332913398743,0.0,0.7187556624412537,0.739092,-7.542942999999999,4.804478,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.1742866,0,wp1,-0.009,-0.006,0.015,57.963504791259766,-28.52501106262207,-206.86195373535156,-0.3445243537425995,0.6036118865013123,0.0,0.7189962267875671,0.737883,-7.548216,4.801825,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.199573,0,wp1,-0.009,-0.006,0.015,57.597286224365234,-27.952499389648438,-205.9463348388672,-0.34499451518058777,0.6037034392356873,0.0,0.7186939120292664,0.73769,-7.546633,4.8073049999999995,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.2242653,0,wp1,-0.009,-0.006,0.015,57.82365417480469,-28.343666076660156,-206.21131896972656,-0.3449030816555023,0.6034573912620544,0.0,0.7189444303512573,0.73658,-7.544452,4.80183,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.249149,0,wp1,-0.009,-0.006,0.015,57.993560791015625,-28.626731872558594,-206.7880401611328,-0.34453049302101135,0.6036008596420288,0.0,0.7190026044845581,0.7312379999999999,-7.560162999999999,4.801768,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
1773939361.2744548,0,wp1,-0.009,-0.006,0.015,57.87916564941406,-28.49992561340332,-206.4125518798828,-0.3446442186832428,0.6037454605102539,0.0,0.7188266515731812,0.739269,-7.549225,4.799983,0.0,5.3003915839322575,0.009800827716879741,0.009799827872852223,0.0
