time,point_index,phase,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,ndi_px_raw,ndi_py_raw,ndi_pz_raw,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,cp_px,cp_py,cp_pz,msr_j0,msr_j1,msr_j2,msr_j3,msr_j4
1775760337.3820474,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.096649169921875,267.68475341796875,-238.87730407714844,0.3131129264831536,-0.12719116210939774,0.07935333251953125,0.6604503989219666,-0.04924594983458519,0.0,0.7492530345916748,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.407007,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.97175407409668,267.9415588378906,-238.91506958007812,0.4380080223083489,0.12961425781247726,0.04158782958984375,0.6612389087677002,-0.049700841307640076,0.0,0.7485271692276001,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.4319863,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.654555320739746,267.8005065917969,-238.9649658203125,0.7552067756652825,-0.011437988281272737,-0.00830841064453125,0.6606832146644592,-0.0515039786696434,0.0,0.7488958835601807,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.4570277,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.915485382080078,267.6361999511719,-239.36338806152344,0.49427671432495046,-0.17574462890627274,-0.40673065185546875,0.6594789624214172,-0.05093691125512123,0.0,0.7499952912330627,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.481984,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.160255432128906,267.6651916503906,-239.54330444335938,0.24950666427612234,-0.14675292968752274,-0.5866470336914062,0.6594018340110779,-0.050315313041210175,0.0,0.7501050233840942,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.5070353,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.458977699279785,267.47161865234375,-239.72616577148438,-0.04921560287475657,-0.34032592773439774,-0.7695083618164062,0.6586816310882568,-0.04916277900338173,0.0,0.750813901424408,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.531988,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.326574325561523,267.6302185058594,-239.47183227539062,0.08318777084350515,-0.18172607421877274,-0.5151748657226562,0.6595293879508972,-0.049369070678949356,0.0,0.7500557899475098,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.5570185,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.262728691101074,267.7635192871094,-239.6194305419922,0.14703340530395437,-0.04842529296877274,-0.6627731323242188,0.6600314974784851,-0.04916178062558174,0.0,0.7496275901794434,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.581989,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.044679641723633,267.77032470703125,-239.3800048828125,0.3650824546813958,-0.04161987304689774,-0.42334747314453125,0.6605148315429688,-0.04963628575205803,0.0,0.7491704225540161,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.6070678,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.842490196228027,267.9459533691406,-239.15960693359375,0.5672719001770012,0.13400878906247726,-0.20294952392578125,0.6614422798156738,-0.05051335692405701,0.0,0.7482931017875671,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.6319878,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.642428398132324,267.5451965332031,-239.26358032226562,0.7673336982727044,-0.26674804687502274,-0.30692291259765625,0.6600032448768616,-0.051343392580747604,0.0,0.7495062947273254,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.6569712,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.822732925415039,267.7010803222656,-239.228271484375,0.5870291709899895,-0.11086425781252274,-0.27161407470703125,0.6604995131492615,-0.05070723220705986,0.0,0.7491123080253601,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.6819673,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.781782150268555,267.8984069824219,-238.9860382080078,0.6279799461364739,0.08646240234372726,-0.02938079833984375,0.6614437699317932,-0.05033090338110924,0.0,0.7483040690422058,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.7070258,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.536571502685547,267.9451904296875,-238.73040771484375,0.8731905937194817,0.13324584960935226,0.22624969482421875,0.6621555685997009,-0.05070136860013008,0.0,0.7476493120193481,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.7320564,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-13.70114517211914,268.0205383300781,-238.6881561279297,0.708616924285888,0.20859374999997726,0.26850128173828125,0.6623552441596985,-0.04993879422545433,0.0,0.7475236654281616,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.7590473,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.118967056274414,267.9939880371094,-239.24880981445312,0.2907950401306145,0.18204345703122726,-0.29215240478515625,0.6613993048667908,-0.04888826981186867,0.0,0.7484390139579773,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
1775760337.7820215,0,initial_wait,0.0,0.0,0.0,0.0,0.0,-14.009477615356445,268.0909118652344,-239.05377197265625,0.4002844810485833,0.27896728515622726,-0.09711456298828125,0.6620227098464966,-0.04913971945643425,0.0,0.7478711009025574,6.730850922764705e-20,-0.0010992313747034631,0.019969769412411038,0.0,0.0,0.0,0.0,0.0
