time,point_index,phase,cmd_px,cmd_py,cmd_pz,cmd_ox,cmd_oy,cmd_oz,cmd_ow,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,joint_0,joint_1,joint_2,joint_3,joint_4
1774558562.9514742,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1932870864868157,0.5278198242187386,0.5015396118164119,0.6777958869934082,-0.033262789249420166,0.0,0.7344973087310791,0.0,3.141592653589793,0.0,0.0,0.0
1774558562.976427,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07532291412353587,0.08159179687498863,0.41439666748047443,0.6763623952865601,-0.03363843262195587,0.0,0.7358005046844482,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.0014327,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.11501712799072195,0.08330078124998863,0.49412384033203693,0.6765910387039185,-0.03309079259634018,0.0,0.735615074634552,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.0264375,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25827198028564524,0.03969116210936363,0.6834701538085994,0.6766741275787354,-0.03398824483156204,0.0,0.7354977130889893,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.0514765,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.31872539520263743,-0.22581176757813637,0.41570892333984943,0.6754687428474426,-0.03437735512852669,0.0,0.7365868091583252,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.0764406,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6119707107543952,-0.42600708007813637,0.6349777221679744,0.6754549145698547,-0.034999508410692215,0.0,0.7365701198577881,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.1014543,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2010324478149421,-0.05305175781251137,1.4413742065429744,0.6778961420059204,-0.03696990758180618,0.0,0.7342275977134705,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.1264725,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.900262641906739,-0.11375122070313637,1.132154846191412,0.676912248134613,-0.036469828337430954,0.0,0.7351596355438232,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.1515663,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5997140884399421,-0.29652099609376137,0.6388839721679744,0.6758166551589966,-0.03584201633930206,0.0,0.7361977696418762,0.0,3.141592653589793,0.0,0.0,0.0
1774558563.1764388,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6180990219116218,-0.45750122070313637,0.8830398559570369,0.6757233738899231,-0.035767678171396255,0.0,0.736286997795105,0.0,3.141592653589793,0.0,0.0,0.0
