time,point_index,phase,cmd_px,cmd_py,cmd_pz,cmd_ox,cmd_oy,cmd_oz,cmd_ow,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,joint_0,joint_1,joint_2,joint_3,joint_4
1775065812.0601466,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.37229785919189595,0.0029357910156022626,0.44840240478515625,0.685662567615509,-0.032374799251556396,0.0,0.7271992564201355,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.0844846,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.07459697723388814,0.10672607421872726,0.48856353759765625,0.6860364675521851,-0.033306412398815155,0.0,0.7268044948577881,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.1094875,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.776627922058104,-0.14718017578127274,0.5144424438476562,0.6851957440376282,-0.036192815750837326,0.0,0.727459192276001,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.134498,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7717584609985337,-0.12484130859377274,0.24214935302734375,0.6851783394813538,-0.03689011186361313,0.0,0.7274405360221863,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.1594965,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.180997276306151,0.43195190429685226,0.6391067504882812,0.6873788833618164,-0.038204167038202286,0.0,0.7252935767173767,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.1845183,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0351594924926744,0.5301574707031023,0.6867599487304688,0.6879249811172485,-0.03820449486374855,0.0,0.7247755527496338,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.2095125,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9655660629272447,0.29501953124997726,0.29502105712890625,0.6866786479949951,-0.03802541643381119,0.0,0.7259659171104431,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.2345505,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2201627731323228,0.20511474609372726,0.25199127197265625,0.6866286993026733,-0.03863525390625,0.0,0.7259810566902161,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.2595382,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9378465652465806,0.27622070312497726,0.11367034912109375,0.6866897344589233,-0.0377563051879406,0.0,0.7259694933891296,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.2844925,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.222407722473143,0.6939758300781023,0.6221237182617188,0.6887462735176086,-0.03886774182319641,0.0,0.7239598035812378,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.309503,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0224184036254869,1.0873474121093523,0.33654022216796875,0.6894545555114746,-0.03823304921388626,0.0,0.7233191728591919,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.3345633,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4927820205688462,1.0573486328124773,0.7326126098632812,0.6897263526916504,-0.03966594487428665,0.0,0.7229828238487244,0.0,3.141592653589793,0.0,0.0,0.0
1775065812.359534,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1363462448120103,1.4219116210937273,1.2464523315429688,0.6915943622589111,-0.0382259264588356,0.0,0.7212738990783691,0.0,3.141592653589793,0.0,0.0,0.0
