time,point_index,phase,cmd_px,cmd_py,cmd_pz,cmd_ox,cmd_oy,cmd_oz,cmd_ow,ndi_px_rel,ndi_py_rel,ndi_pz_rel,ndi_ox,ndi_oy,ndi_oz,ndi_ow,joint_0,joint_1,joint_2,joint_3,joint_4
1772490105.9197907,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13008146286010813,-0.7582366943359489,-0.5868698120117131,0.6747686862945557,-0.0905705913901329,0.0,0.7324508428573608,0.0,3.141592653589793,0.0,0.0,0.0
1772490105.9446902,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20346765518188548,-0.7296417236328239,-0.49604949951171307,0.6749703884124756,-0.09105593711137772,0.0,0.7322047352790833,0.0,3.141592653589793,0.0,0.0,0.0
1772490105.9696503,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.38778810501098704,-0.6043518066406364,-0.5326095581054631,0.6752824783325195,-0.09144993126392365,0.0,0.7318677306175232,0.0,3.141592653589793,0.0,0.0,0.0
1772490105.994493,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.673540401458741,-0.34893493652344887,-0.18116912841796307,0.676629364490509,-0.0918956845998764,0.0,0.7305667996406555,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.0195298,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5952342033386238,-0.5501678466796989,-0.22076568603515057,0.6759220361709595,-0.09204130619764328,0.0,0.731203019618988,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.0446732,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8145897865295417,-0.46664123535157387,0.029219055175786934,0.676584780216217,-0.09258318692445755,0.0,0.7305213212966919,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.0700555,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8384440422058113,-0.24358825683594887,0.23879852294922443,0.6773478984832764,-0.09291431307792664,0.0,0.7297716736793518,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.094641,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42543344497680735,0.02368469238280113,0.28007354736328693,0.6783328652381897,-0.09174354374408722,0.0,0.7290046215057373,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.119812,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3946469306945808,-0.10473327636719887,0.15582122802734943,0.6778185367584229,-0.09190291166305542,0.0,0.729462742805481,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.1448464,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0872595787048347,-0.31432800292969887,-0.09469757080077557,0.6769510507583618,-0.09123653173446655,0.0,0.7303513884544373,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.1693428,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1521428108215339,-0.34461669921876137,0.09797515869141193,0.6772284507751465,-0.09129241108894348,0.0,0.730087161064148,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.1944304,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0948431968688972,-0.29020385742188637,0.18887176513672443,0.6774527430534363,-0.09099967777729034,0.0,0.7299156188964844,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.21945,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.059679698944091086,-0.19321899414063637,0.10078277587891193,0.677618682384491,-0.09076424688100815,0.0,0.729790985584259,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.2445946,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1585719108581536,-0.26215820312501137,0.08053436279297443,0.677228569984436,-0.09046431630849838,0.0,0.7301902174949646,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.2696693,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1320521354675286,-0.36407165527344887,0.07145538330078693,0.6768797039985657,-0.0907522514462471,0.0,0.7304778695106506,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.2946322,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.24643964767455984,-0.36277465820313637,-0.014894104003900566,0.6766879558563232,-0.0904269888997078,0.0,0.7306958436965942,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.319583,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.18547220230102468,-0.42455749511719887,0.06811370849609943,0.6768471598625183,-0.09007618576288223,0.0,0.7305916547775269,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.3445342,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.16560297012329173,-0.5067718505859489,0.22169342041016193,0.6769532561302185,-0.09058155864477158,0.0,0.7304308414459229,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.369633,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13334875106811594,-0.7820861816406364,0.5121902465820369,0.6765779256820679,-0.08973181247711182,0.0,0.7308833003044128,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.3944294,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26675634384155344,-0.5301330566406364,0.6102737426757869,0.6772707104682922,-0.09010337293148041,0.0,0.7301957011222839,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.4193242,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012053775787354226,-0.36344604492188637,0.6804031372070369,0.6777729392051697,-0.08922853320837021,0.0,0.7298370599746704,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.4443245,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1971623420715325,-0.26459960937501137,0.36585845947266193,0.6780242919921875,-0.08861976861953735,0.0,0.7296777367591858,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.4696302,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.10375337600708079,-0.46217041015626137,0.46757354736328693,0.6775112748146057,-0.08927380293607712,0.0,0.7300744652748108,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.4943109,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.20455141067504812,-0.6712158203125114,0.22677459716797443,0.6766347289085388,-0.08873424679040909,0.0,0.7309525609016418,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.5204802,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05734281539917063,-0.7137725830078239,0.30699005126953693,0.6766487956047058,-0.08896928280591965,0.0,0.7309109568595886,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.5444632,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2061964988708489,-0.5492675781250114,0.28596343994141193,0.677059531211853,-0.08841091394424438,0.0,0.7305983304977417,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.56932,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.03620119094848562,-0.5817993164062614,0.28147735595703693,0.6768090128898621,-0.08922287821769714,0.0,0.7307316660881042,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.5944216,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.28283376693725515,-0.6506317138671989,0.26399078369141193,0.6764287948608398,-0.08889728039503098,0.0,0.7311233878135681,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.6194658,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.08017988204955984,-0.39255981445313637,0.15208282470703693,0.6770220398902893,-0.08985559642314911,0.0,0.7304568290710449,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.6443882,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020400333404541726,-0.6326416015625114,0.06898345947266193,0.6763656735420227,-0.0898296982049942,0.0,0.7310677766799927,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.6694458,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17714338302612376,-0.9150665283203239,-0.16983184814452557,0.675262987613678,-0.09036743640899658,0.0,0.7320202589035034,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.6944354,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5002444267272956,-0.9829376220703239,-0.0017562866210880657,0.6750938296318054,-0.09116264432668686,0.0,0.7320776581764221,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.7204926,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3613665580749519,-0.8065917968750114,0.053266906738286934,0.6755737662315369,-0.09063537418842316,0.0,0.7317003011703491,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.7443762,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4896643638610847,-0.6449096679687614,0.016065979003911934,0.6760452389717102,-0.09079987555742264,0.0,0.7312442660331726,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.769682,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5563176155090339,-0.38546447753907387,0.029646301269536934,0.6767072081565857,-0.0911678597331047,0.0,0.7305858731269836,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.7943602,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5709479331970222,-0.25719909667969887,-0.10502777099608807,0.6770415306091309,-0.0909930095076561,0.0,0.7302979230880737,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.8194036,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4234297752380378,-0.39330749511719887,-0.23318634033202557,0.6763968467712402,-0.09082885831594467,0.0,0.7309154868125916,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.8452957,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47968130111694407,-0.5881927490234489,-0.25900421142577557,0.6758384108543396,-0.09099879860877991,0.0,0.7314107418060303,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.8704233,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24835710525512766,-0.5335662841796989,-0.23431549072265057,0.6759393215179443,-0.09050904214382172,0.0,0.7313782572746277,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.8952553,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.025322628021239524,-0.47492675781251137,-0.21100006103515057,0.6762339472770691,-0.08944644033908844,0.0,0.7312366366386414,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.9204528,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010627079010010476,-0.46297912597657387,-0.25766143798827557,0.6761558055877686,-0.0897991880774498,0.0,0.7312656044960022,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.945248,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0480696678161614,-0.5569580078125114,-0.19517669677733807,0.6758096218109131,-0.08961237967014313,0.0,0.7316084504127502,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.9694483,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.039838504791259055,-0.5393951416015739,-0.24377593994140057,0.675971508026123,-0.08936341851949692,0.0,0.731489360332489,0.0,3.141592653589793,0.0,0.0,0.0
1772490106.9953997,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17862253189086985,-0.6008270263671989,-0.06987152099608807,0.6758414506912231,-0.09018973261117935,0.0,0.7315080761909485,0.0,3.141592653589793,0.0,0.0,0.0
1772490107.0202956,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.047103214263916726,-0.5640686035156364,-0.09201202392577557,0.676067590713501,-0.08965995907783508,0.0,0.7313642501831055,0.0,3.141592653589793,0.0,0.0,0.0
1772490107.0451977,0,baseline,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.20747880935669016,-0.8897521972656364,-0.12033233642577557,0.6750624179840088,-0.09016284346580505,0.0,0.7322304248809814,0.0,3.141592653589793,0.0,0.0,0.0
